epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,558.269,1.87359,2.52193,1.13476,0.10217,0.19602,0.06249,0.01711,2.71241,2.9609,1.15845,0.000555172,0.000555172,0.000555172
2,1082.24,1.69477,1.2567,1.0749,0.10339,0.26215,0.07264,0.0226,2.5761,3.09371,1.12563,0.00106685,0.00106685,0.00106685
3,1600.37,1.62934,1.12289,1.05748,0.13329,0.21592,0.0854,0.02518,2.56064,2.66022,1.14895,0.00153452,0.00153452,0.00153452
4,2111.87,1.57562,1.02247,1.03216,0.1606,0.28779,0.11357,0.03369,2.46172,2.43316,1.11787,0.00146896,0.00146896,0.00146896
5,2624.54,1.51118,0.94197,1.01284,0.13015,0.2787,0.08915,0.0253,2.68683,2.77345,1.20405,0.00140295,0.00140295,0.00140295
6,3135.92,1.47382,0.8734,1.00182,0.13997,0.25641,0.08791,0.02726,2.56772,2.87211,1.17866,0.00133693,0.00133693,0.00133693
7,3646.85,1.43325,0.84117,0.98861,0.10673,0.19501,0.05468,0.01554,2.64039,3.07682,1.15871,0.00127092,0.00127092,0.00127092
8,4157.01,1.41625,0.81031,0.98313,0.12055,0.20857,0.0728,0.0214,2.53088,2.98182,1.14958,0.00120491,0.00120491,0.00120491
9,4667.56,1.38814,0.7803,0.97702,0.15159,0.2058,0.0904,0.02861,2.49618,2.69644,1.14919,0.00113889,0.00113889,0.00113889
10,5175.23,1.36236,0.74955,0.9693,0.12783,0.19298,0.0688,0.02202,2.58145,3.05057,1.15646,0.00107288,0.00107288,0.00107288
11,5682.73,1.33908,0.72625,0.96154,0.14414,0.24764,0.0979,0.03318,2.49974,2.79917,1.13759,0.00100687,0.00100687,0.00100687
12,6191.6,1.32353,0.71211,0.95417,0.1277,0.17308,0.07196,0.0258,2.63473,2.94609,1.18651,0.000940855,0.000940855,0.000940855
13,6701.65,1.30587,0.69072,0.95079,0.13295,0.20074,0.07461,0.02393,2.69931,3.0023,1.19406,0.000874842,0.000874842,0.000874842
14,7210.94,1.27884,0.67098,0.94565,0.13412,0.20884,0.08271,0.02682,2.67089,2.79509,1.19009,0.000808828,0.000808828,0.000808828
15,8438.25,1.27174,0.65675,0.94496,0.13995,0.21559,0.07895,0.02795,2.64022,2.98522,1.17365,0.000742815,0.000742815,0.000742815
16,11034.5,1.26444,0.62452,0.95213,0.12252,0.20719,0.0682,0.02455,2.719,3.11105,1.21397,0.000676802,0.000676802,0.000676802
17,11544.9,1.24281,0.60569,0.94376,0.1341,0.20277,0.07913,0.02493,2.65421,3.04467,1.18628,0.000610789,0.000610789,0.000610789
18,12065.6,1.22567,0.58965,0.93953,0.13321,0.18961,0.06883,0.02212,2.66415,3.18272,1.20008,0.000544776,0.000544776,0.000544776
19,12618.8,1.20959,0.57591,0.9369,0.16054,0.21053,0.08166,0.02703,2.67095,3.31528,1.19609,0.000478762,0.000478762,0.000478762
20,13161.4,1.18817,0.56118,0.92966,0.15201,0.19939,0.08137,0.02846,2.72479,3.21703,1.21019,0.000412749,0.000412749,0.000412749
21,13704.4,1.17236,0.54884,0.9251,0.15431,0.20209,0.0833,0.0293,2.64691,3.25041,1.18296,0.000346736,0.000346736,0.000346736
22,14235.8,1.16161,0.53385,0.92309,0.16537,0.20142,0.08966,0.03169,2.66231,3.21619,1.19444,0.000280723,0.000280723,0.000280723
23,14777.7,1.13974,0.52107,0.91563,0.161,0.20344,0.08805,0.02978,2.68465,3.16813,1.199,0.00021471,0.00021471,0.00021471
24,15321.6,1.12146,0.51143,0.91193,0.15425,0.2085,0.08007,0.02765,2.67328,3.26208,1.19507,0.000148696,0.000148696,0.000148696
25,15869.6,1.10829,0.49904,0.909,0.1539,0.19366,0.07726,0.02585,2.67423,3.38454,1.19242,8.26832e-05,8.26832e-05,8.26832e-05
